Organisation	Peering Contact	Switch	AS number	LAN	ISP (v4)	ISP (v6)	Multicast	MDX	Peers with route server	Location	Connection
"Colt Telecom Group"	"peering@colt.net"	"pxc-nik-116"	"8220"	"ISP"	"195.69.144.236"	"2001:7f8:1::a500:8220:1"	""	""	no	"NIKHEF"	"10000baseLR"	
"Com-Ned Netwerken Bv"	"peerings@comned.com"	"edge-tel-005"	"29640"	"ISP"	"195.69.144.246"	"2001:7f8:1::a502:9640:1"	""	""	yes	"TeleCity 2"	"1000baseSX"	
"Comfone AG"	"grxpeering@comfone.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"10baseT"	
"Comfone AG"	"grxpeering@comfone.com"	"withheld"	"private"	"GRX"	""	""	""	""	no	"TeleCity 2"	"100baseTX"	
"Computel Standby BV"	"peering@nederland.net"	"edge-sar-001"	"31383"	"ISP"	"195.69.145.35"	"2001:7f8:1::a503:1383:1"	""	""	yes	"SARA"	"100baseTX"	
"COMSTAR-Direct CJSC"	"ipnoc@mtu.ru"	"pxc-tel-106"	"8359"	"ISP"	"195.69.145.188"	"2001:7f8:1::a500:8359:1"	""	""	yes	"TeleCity 2"	"10000baseLR"	
"ComX Networks"	"peering@comx.dk"	"edge-sar-001"	"31661"	"ISP"	"195.69.145.87"	""	""	""	yes	"SARA"	"1000baseSX"	
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"edge-glo-007"	"12871"	"ISP"	"195.69.144.32"	"2001:7f8:1::a501:2871:2"	""	""	yes	"Global Switch"	"1000baseSX"	
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"edge-nik-003"	"12871"	"ISP"	"195.69.144.64"	"2001:7f8:1::a501:2871:1"	""	""	yes	"NIKHEF"	"1000baseLX"	
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"edge-nik-004"	"12871"	"ISP"	"195.69.144.64"	"2001:7f8:1::a501:2871:1"	""	""	yes	"NIKHEF"	"2000baseSX"	
"Coolwave Communications BV"	"peering@carrier1.com"	"edge-nik-003"	"8918"	"ISP"	"195.69.144.58"	""	""	""	no	"NIKHEF"	"1000baseSX"	
"Cubic Circle B.V."	"hostmaster@cuci.nl"	"edge-sar-001"	"5419"	"ISP"	"195.69.144.135"	""	""	""	no	"SARA"	"100baseTX"	
"Cyso Managed Hosting"	"noc@cysonet.com"	"edge-glo-007"	"25151"	"ISP"	"195.69.145.155"	""	""	""	no	"Global Switch"	"1000baseSX"	
"Dailymotion"	"peering@dailymotion.com"	"edge-eun-008"	"41690"	"ISP"	"195.69.144.164"	""	""	""	no	"euNetworks"	"2000baseLX"	
"Datahop Ltd"	"peering@datahop.net"	"edge-nik-003"	"6908"	"ISP"	"195.69.145.145"	"2001:7f8:1::a500:6908:1"	""	""	no	"NIKHEF"	"1000baseSX"	
"DENIC eG"	"peering@denic.de"	"edge-eun-008"	"31529"	"ISP"	"195.69.145.160"	"2001:7f8:1::a503:1529:1"	""	""	yes	"euNetworks"	"100baseTX"	
"Denit Internet Services"	"peering@denit.nl"	"edge-glo-007"	"25542"	"ISP"	"195.69.145.64"	""	""	""	yes	"Global Switch"	"1000baseSX"	
"Deutsche Telekom AG"	"peering@usa.telekom.de"	"edge-nik-003"	"3320"	"ISP"	"195.69.145.211"	""	""	""	no	"NIKHEF"	"2000baseSX"	
"Dial Telecom a.s."	"peering@dialtelecom.cz"	"edge-sar-001"	"29208"	"ISP"	"195.69.144.172"	"2001:7f8:1::a502:9208:1"	""	""	yes	"SARA"	"1000baseLX"	
"DoclerWeb Kft."	"peering@docler.net"	"pxc-tel-110"	"34655"	"ISP"	"195.69.144.150"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"DSD automatisering b.v."	"peering@dsdeurne.nl"	"edge-glo-007"	"29462"	"ISP"	"195.69.145.77"	""	""	""	no	"Global Switch"	"1000baseLX"	
"Duocast"	"peering@duocast.nl"	"edge-glo-007"	"31477"	"ISP"	"195.69.145.98"	""	""	""	yes	"Global Switch"	"1000baseSX"	
"E4A s.r.l."	"peering@e4a.it"	"edge-eun-008"	"34695"	"ISP"	"195.69.144.74"	""	""	""	yes	"euNetworks"	"100baseTX"	
"Easyhosting BV"	"peering@easyhosting.nl"	"edge-nik-004"	"39556"	"ISP"	"195.69.145.195"	"2001:7f8:1::a503:9556:1"	""	""	yes	"NIKHEF"	"1000baseSX"	
"Easynet Limited"	"peering@easynet.net"	"edge-nik-003"	"4589"	"ISP"	"195.69.144.137"	"2001:7f8:1::a500:4589:2"	""	""	no	"NIKHEF"	"2000baseSX"	
"Easynet Limited"	"peering@easynet.net"	"pxc-sar-101"	"4589"	"ISP"	"195.69.144.137"	"2001:7f8:1::a500:4589:2"	""	""	no	"SARA"	"10000baseER"	
"Easynet Limited"	"peering@easynet.net"	"pxc-sar-102"	"4589"	"ISP"	"195.69.144.38"	"2001:7f8:1::a500:4589:1"	""	""	no	"SARA"	"10000baseLR"	
"eatserver.nl"	"peering@eatserver.nl"	"edge-nik-003"	"42949"	"ISP"	"195.69.144.231"	""	""	""	no	"NIKHEF"	"1000baseLX"	
"Ecatel Limited"	"noc@ecatel.net"	"edge-nik-004"	"29073"	"ISP"	"195.69.145.224"	"2001:7f8:1::a502:9073:1"	""	""	yes	"NIKHEF"	"1000baseLX"	
"Edutel B.V."	"peering@edutel.nl"	"pxc-nik-104"	"39309"	"ISP"	"195.69.145.65"	"2001:7f8:1::a503:9309:1"	""	""	yes	"NIKHEF"	"10000baseLR"	
"Eircom"	"peering@eircom.net"	"edge-sar-002"	"5466"	"ISP"	"195.69.144.160"	""	""	""	no	"SARA"	"1000baseLX"	
"Eircom"	"peering@eircom.net"	"edge-sar-002"	"5466"	""	""	""	""	""	no	"SARA"	"1000baseLX"	
"Elion"	"peering@elion.ee"	"pxc-tel-106"	"3249"	"ISP"	"195.69.145.181"	""	""	""	no	"TeleCity 2"	"10000baseER"	
"Emirates Telecommunications (EMIX)"	"noc@emix.net.ae"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"10baseT"	
"Emirates Telecommunications (EMIX)"	"noc@emix.net.ae"	"edge-sar-001"	"8966"	"ISP"	"195.69.145.89"	""	""	""	no	"SARA"	"2000baseSX"	
"Emirates Telecommunications (EMIX)"	"noc@emix.net.ae"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"100baseTX"	
"Emirates Telecommunications (EMIX)"	"noc@emix.net.ae"	"pxc-sar-101"	"8966"	"ISP"	"195.69.145.89"	""	""	""	no	"SARA"	"10000baseLR"	
"Entanet International"	"peering@enta.net"	"pxc-sar-114"	"8468"	"ISP"	"195.69.145.82"	""	""	""	yes	"SARA"	"10000baseLR"	
"EPT Luxembourg"	"carlo.richartz@ept.lu"	"pxc-tel-110"	"6661"	"ISP"	"195.69.144.60"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"EUnet Finland (Saunalahti Group Oyj)"	"peering@eunetip.net"	"pxc-nik-108"	"6667"	"ISP"	"195.69.144.127"	"2001:7f8:1::a500:6667:1"	""	""	no	"NIKHEF"	"10000baseLR"	
"EuroAccess Enterprises Ltd."	"peering@euroaccess.nl"	"pxc-sar-102"	"34305"	"ISP"	"195.69.145.174"	"2001:7f8:1::a503:4305:1"	""	""	yes	"SARA"	"10000baseLR"	
"EuroTransit GmbH"	"peering@nmc.euro-transit.net"	"edge-sar-002"	"33926"	"ISP"	"195.69.145.103"	""	""	""	yes	"SARA"	"2000baseSX"	
"Eurotranstelecom"	"peering@ett.ua"	"edge-tel-006"	"35320"	"ISP"	"195.69.145.183"	""	""	""	no	"TeleCity 2"	"1000baseLX"	
"EWE TEL GmbH"	"peerings@ewetel.de"	"pxc-nik-112"	"9145"	"ISP"	"195.69.144.42"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Exa Networks"	"peering@exa-networks.co.uk"	"edge-tel-005"	"30740"	"ISP"	"195.69.145.182"	""	""	""	no	"TeleCity 2"	"100baseTX"	
"Facebook, Inc"	"danw@facebook.com"	"pxc-tel-115"	"32934"	"ISP"	"195.69.145.115"	""	""	""	no	"TeleCity 2"	"10000baseLR"	
"FastHost AS"	"peering@fasthost.no"	"edge-tel-005"	"31283"	"ISP"	"195.69.145.88"	"2001:7f8:1::a503:1283:1"	""	""	yes	"TeleCity 2"	"1000baseLX"	
"Finecom Telecommunications AG"	"peering@finecom.ch"	"edge-tel-005"	"15600"	"ISP"	"195.69.144.128"	"2001:7f8:1::a501:5600:1"	""	""	no	"TeleCity 2"	"1000baseLX"	
"FLAG Telecom Nederland B.V."	"peering@flagtelecom.com"	"edge-sar-002"	"15412"	"ISP"	"195.69.144.72"	"2001:7f8:1::a501:5412:1"	""	""	no	"SARA"	"3000baseSX"	
"France Telecom (Open Transit)"	"peering5511@opentransit.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"NIKHEF"	"100baseTX"	
"France Telecom (Open Transit)"	"peering5511@opentransit.net"	"withheld"	"private"	"GRX"	""	""	""	""	no	"SARA"	"100baseTX"	
"France Telecom (Open Transit)"	"peering5511@opentransit.net"	"edge-sar-001"	"5511"	"ISP"	"195.69.144.59"	""	""	""	no	"SARA"	"1000baseSX"	
"Free SAS"	"peering@proxad.net"	"pxc-tel-105"	"12322"	"ISP"	"195.69.144.251"	"2001:7f8:1::a501:2322:1"	""	""	no	"TeleCity 2"	"30000baseLR"	
"freenet Cityline GmbH"	"peering@mcbone.net"	"pxc-nik-112"	"5430"	"ISP"	"195.69.145.177"	"2001:7f8:1::a500:5430:2"	""	""	no	"NIKHEF"	"10000baseLR"	
"freenet Cityline GmbH"	"peering@mcbone.net"	"pxc-tel-106"	"5430"	"ISP"	"195.69.144.136"	"2001:7f8:1::a500:5430:1"	""	""	yes	"TeleCity 2"	"10000baseLR"	
"Frontier Online"	"peering@frontier.fr"	"edge-sar-002"	"13049"	"ISP"	"195.69.145.50"	""	""	""	no	"SARA"	"10baseT"	
"GamePoint"	"peering@gamepoint.net"	"edge-nik-003"	"12945"	"ISP"	"195.69.144.125"	""	""	""	no	"NIKHEF"	"100baseTX"	
"Garnier Projects B.V."	"peerings@netholding.nl"	"pxc-glo-107"	"24730"	"ISP"	"195.69.144.79"	""	""	""	no	"Global Switch"	"10000baseLR"	
"Gemeente Den Haag"	"peering@haagnet.net"	"edge-nik-003"	"29263"	"ISP"	"195.69.144.129"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
"Gemeente Den Haag"	"peering@haagnet.net"	"edge-sar-002"	"29263"	"ISP"	"195.69.145.172"	""	""	""	yes	"SARA"	"1000baseLX"	
"Giganews, Inc."	"ippeering@giganews.com"	"pxc-nik-103"	"30094"	"ISP"	"195.69.144.193"	""	""	""	yes	"NIKHEF"	"40000baseLR"	
"Giganews, Inc."	"ippeering@giganews.com"	"pxc-sar-101"	"30094"	"ISP"	"195.69.145.141"	""	""	""	yes	"SARA"	"40000baseLR"	
"Global Crossing"	"peering@gblx.net"	"edge-sar-001"	"3549"	"ISP"	"195.69.144.80"	""	""	""	no	"SARA"	"1000baseSX"	
"Globalaxs Communications"	"peering@gbxs.net"	"pxc-tel-105"	"9009"	"ISP"	"195.69.144.63"	"2001:7f8:1::a500:9009:1"	""	""	no	"TeleCity 2"	"10000baseLR"	
"GlobalNet JSC"	"noc@gblnet.ru"	"edge-nik-004"	"31500"	"ISP"	"195.69.145.157"	""	""	""	yes	"NIKHEF"	"1000baseLX"	
"Golden Telecom"	"peering@gldn.net"	"pxc-nik-112"	"3216"	"ISP"	"195.69.145.153"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"Google (IPv6)"	"peering@google.com"	"edge-sar-002"	"15169"	"ISP"	""	""	""	""	no	"SARA"	"1000baseLX"	
"Google"	"peering@google.com"	"pxc-sar-101"	"15169"	"ISP"	"195.69.145.100"	"2001:7f8:1::a501:5169:1"	""	""	yes	"SARA"	"30000baseLR"	
"Google"	"peering@google.com"	"pxc-tel-105"	"15169"	"ISP"	"195.69.144.247"	""	""	""	yes	"TeleCity 2"	"30000baseLR"	
"Goscomb Technologies Ltd"	"peering@goscomb.net"	"edge-nik-003"	"39326"	"ISP"	"195.69.145.107"	"2001:7f8:1::a503:9326:1"	""	""	yes	"NIKHEF"	"1000baseSX"	
"GrafiX Internet B.V."	"peering@grafix.nl"	"edge-tel-005"	"16131"	"ISP"	"195.69.144.239"	"2001:7f8:1::a501:6131:1"	""	""	no	"TeleCity 2"	"2000baseSX"	
"Green ISP B.V."	"peering@tiscali.nl"	"pxc-nik-112"	"5615"	"ISP"	"195.69.144.115"	"2001:7f8:1::a500:5615:1"	""	""	no	"NIKHEF"	"20000baseLR"	
"Green ISP B.V."	"peering@tiscali.nl"	"pxc-tel-106"	"5615"	"ISP"	"195.69.144.78"	"2001:7f8:1::a500:5615:2"	""	""	no	"TeleCity 2"	"20000baseLR"	
"Green.ch AG"	"peering@green.ch"	"edge-sar-001"	"1836"	"ISP"	"195.69.144.192"	"2001:7f8:1::a500:1836:1"	""	""	no	"SARA"	"1000baseSX"	
"Griffin Internet"	"peering@griffin.com"	"edge-nik-004"	"20500"	"ISP"	"195.69.144.61"	""	""	""	yes	"NIKHEF"	"1000baseLX"	
"Gyron Internet Ltd"	"peering@gyron.net"	"edge-sar-002"	"29017"	"ISP"	"195.69.145.84"	""	""	""	yes	"SARA"	"100baseTX"	
"ha-vel internet s.r.o."	"servis@ha-vel.cz"	"edge-nik-003"	"15935"	"ISP"	"195.69.145.163"	""	""	""	yes	"NIKHEF"	"1000baseLX"	
"HeLi NET Telekommunikation GmbH & Co. KG"	"peering@helinet.de"	"edge-tel-005"	"12355"	"ISP"	"195.69.144.76"	""	""	""	yes	"TeleCity 2"	"1000baseLX"	
"HeLi NET Telekommunikation GmbH & Co. KG"	"peering@helinet.de"	"edge-tel-006"	"12355"	"ISP"	""	"2001:7f8:1::a501:2355:2"	""	""	no	"TeleCity 2"	"1000baseLX"	
"Highwinds Network Group, Inc."	"peering@hwng.net"	"pxc-nik-108"	"12989"	"ISP"	"195.69.144.94"	"2001:7f8:1::a501:2989:1"	""	""	yes	"NIKHEF"	"80000baseZRD"	
"HL komm Telekommunikations GmbH"	"peering@hlkomm.de"	"pxc-sar-111"	"16097"	"ISP"	"195.69.145.114"	""	""	""	yes	"SARA"	"10000baseLR"	
"Hurricane Electric"	"peering@he.net"	"pxc-nik-103"	"6939"	"ISP"	"195.69.145.150"	"2001:7f8:1::a500:6939:1"	""	""	no	"NIKHEF"	"10000baseER"	
"Hyves / Startphone Limited"	"peering@hyves.nl"	"pxc-nik-116"	"47344"	"ISP"	"195.69.144.101"	""	""	""	no	"NIKHEF"	"10000baseLR"	
"IC&S"	"peering@ic-s.nl"	"edge-glo-007"	"28836"	"ISP"	"195.69.144.238"	""	""	""	no	"Global Switch"	"1000baseSX"	
"Iceland Telecom"	"peering@simnet.is"	"edge-sar-002"	"6677"	"ISP"	"195.69.145.113"	""	""	""	yes	"SARA"	"1000baseSX"	
"IDnet (IDnet)"	"peering@idnet.net.uk"	"edge-sar-001"	"12496"	"ISP"	"195.69.144.141"	""	""	""	no	"SARA"	"100baseTX"	
"Ikoula"	"peering@ikoula.com"	"edge-tel-005"	"21409"	"ISP"	"195.69.145.184"	""	""	""	yes	"TeleCity 2"	"100baseTX"	
"iLink"	"peering@ilink.ro"	"edge-sar-001"	"30890"	"ISP"	"195.69.144.54"	"2001:7f8:1::a503:890:1"	""	""	no	"SARA"	"2000baseLX"	
"in2ip"	"peering@in2ip.nl"	"edge-nik-004"	"34141"	"ISP"	"195.69.145.136"	""	""	""	yes	"NIKHEF"	"1000baseSX"	
