Member	IP	Datacenter	ASnr	ASmacro	PeeringContact	PeeringPolicy	MLPA	
DataDiensten Fryslan	193.239.116.6	NIKHEF Access	AS35467	AS-DCF	noc@dcf.nl	Open	No	
Dataregiocentre	193.239.116.168	SARA Amsterdam	AS43885	-	-	-	No	
Dataweb	193.239.116.10	Telecity 1	AS35332	AS-DATAWEB	beheer@dataweb.nl	Open	No	
Datiq	193.239.116.22	SARA Amsterdam	AS29126	-	noc@datiq.nl	-	No	
Datiq	193.239.116.111	Telecity 1 MG8 Switch	AS29126	-	noc@datiq.nl	-	No	
De Giessen B.V.	193.239.116.124	Redbus 2F	AS35027	-	peering@giessen.nl	On-our-initiative-only	Yes	
Decco	193.239.116.13	Easynet	AS35782	-	peering@decco.net	Open	No	
Delta Solutions	193.239.116.104	MediaGateway	AS12323	-	-	Open	No	
Denit Internet Services	193.239.116.43	Redbus 2F	AS25542	AS-DENIT	peering@denit.net	Open	No	
Denovis	193.239.116.82	EvoSwitch	AS30785	-	peering@radik.nl	No	No	
Digital Residence	193.239.116.34	NIKHEF Access	AS47207	-	peering@digires.net	Open	Yes	
Digitalus Webhosting	193.239.116.64	SARA Amsterdam	AS29590	-	-	Open	Yes	
DMA Computer Services	193.239.116.58	NIKHEF Access	AS29001	-	peering@dma.nl	Open	Yes	
Docler Networks	193.239.116.88	Telecity 2	AS34655	AS-DOCLER	peering@docler.net	Open	Yes	
DSD Automatisering	193.239.116.160	GlobalSwitch	AS29462	-	noc@dsdeurne.nl	Case-by-case	Yes	
DSD Automatisering	193.239.116.161	Telecity 1	AS29462	-	noc@dsdeurne.nl	Case-by-case	Yes	
Duocast	193.239.116.132	GlobalSwitch	AS31477	AS-DUOCAST	peering@duocast.net	Open	Yes	
DutchView	193.239.116.180	eu-Networks MG8	AS44935	-	-	-	No	
DutchView	193.239.116.181	Mediagateway MG8	AS44935	-	-	-	No	
e-PrivateOffice	193.239.116.175	SARA Almere	AS42351	-	-	-	No	
e-PrivateOffice	193.239.116.176	Eurofiber Utrecht	AS42351	-	-	-	No	
Easyhosting BV	193.239.116.136	NIKHEF Access	AS39556	AS-EASYHOSTING	peering@easyhosting.nl	Open	Yes	
Easyhosting BV	193.239.116.127	Easynet	AS39556	AS-EASYHOSTING	peering@easyhosting.nl	Open	Yes	
Eatserver	193.239.116.179	NIKHEF Access	AS42949	-	peering@eatserver.nl	Open	Yes	
Eatserver	193.239.116.167	Telecity 1	AS42949	-	peering@eatserver.nl	Open	Yes	
Ecatel	193.239.116.106	Redbus 2F	AS29073	AS-ECATEL	noc@ecatel.net	No	Yes	
Entanet International Ltd	193.239.116.95	SARA Amsterdam	AS8468	AS-Entanet	peering@enta.net	Case-by-case	No	
Euroaccess	193.239.116.103	Telecity 2 MG8 Switch	AS34305	AS-EUROACCESS	peering@euroaccess.nl	Case-by-case	Yes	
Evertje Networks	193.239.116.191	Alphen a/d Rijn	AS47407	AS-EVERTJENETWORKS	noc@evertjenetworks.nl	Open	Yes	
Final Frontier	193.239.116.11	Interxion AMS3	AS39136	AS-FINALFRONTIER	support@final-frontier.net	On-our-initiative-only	No	
Gemeente Heerlen	193.239.116.35	NIKHEF Access	AS38915	-	peering@ictparkstad.net	Open	Yes	
Giganews	193.239.116.92	Telecity 1	AS30094	-	noc@giganews.com	Open	No	
Global Connect	193.239.116.97	Interxion AMS1	AS34210	-	peering@global-connect.nl	Open	No	
Global Crossing	193.239.116.81	NIKHEF Access	AS3549	-	-	No	No	
Global-e	193.239.116.98	Telecity 1	AS39591	AS-GLOBAL-E	ncd@global-e.nl	Case-by-case	No	
Goscomb Technologies	193.239.116.120	NIKHEF Access	AS39326	AS-GOSCOMB	peering@goscomb.net	Case-by-case	No	
GrafiX	193.239.116.70	Telecity 2	AS16131	AS-GRAFIX	peering@grafix.nl	Open	Yes	
Henz.nl	193.239.116.41	Redbus 2F	AS25433	AS-HENZ	peering@henz.nl	Open	Yes	
Highwinds Network Group	193.239.116.89	NIKHEF Core	AS12989	AS-HWNG	peering@hwng.net	Case-by-case	Yes	
Hurricane Electric	193.239.116.14	NIKHEF Access	AS6939	-	-	Not ready	No	
i-Netboys	193.239.116.16	Easynet	AS35090	-	peering@i-netboys.net	No	No	
IASO Backup Technology	193.239.116.159	Interxion AMS3	AS43054	-	-	Case-by-case	No	
illian.networks	193.239.116.149	eu-Networks Access	AS39292	AS-ILLIAN-NETWORKS	peering@illian.net	Open	No	
In2ip	193.239.116.145	Redbus 2E	AS34141	AS-IN2IP	peering@in2ip.nl	Open	Yes	
Info.nl	193.239.116.77	Telecity 1	AS20953	AS-INFO	infopeering@info.nl	Case-by-case	Yes	
Init Seven AG	193.239.116.84	SARA Amsterdam	AS13030	AS-INIT7	peering@init7.net	Open	Yes	
InterAmbition	193.239.116.107	MediaGateway	AS34889	-	-	Open	No	
InterBox Internet	193.239.116.42	GlobalSwitch	AS16298	AS-INTERBOX	noc@box.nl	Open	Yes	
InterBox Internet	193.239.116.187	GrafiXNOC	AS16298	AS-INTERBOX	noc@box.nl	Open	Yes	
InterConnect Services B.V.	193.239.116.109	SARA Amsterdam	AS9150	AS-INTERCONNECT	peering@interconnect.nl	Case-by-case	No	
InterConnect Services B.V.	193.239.116.93	Telecity 1	AS9150	AS-INTERCONNECT	peering@interconnect.nl	Case-by-case	No	
InterNLnet B.V.	193.239.116.193	NIKHEF Access	AS20507	-	-	-	No	
InTouch (AS8935)	193.239.116.66	NIKHEF Access	AS8935	-	servicedesk@intouch.nl	Open	Yes	
IntroWeb Nederland	193.239.116.85	NIKHEF Access	AS20847	AS-INTROWEB	peering@introweb.nl	Open	Yes	
IntroWeb Nederland	193.239.116.86	Telecity 2	AS20847	AS-INTROWEB	peering@introweb.nl	Open	Yes	
IP2 Internet B.V.	193.239.116.126	GlobalSwitch	AS34486	AS-IP2	peering@ip2.net	Open	No	
IPTP Networks	193.239.116.202	Telecity 1 MG8 Switch	AS41095	AS-IPTIP	peering@iptp.net	Case-by-case	No	
ISC	193.239.116.163	Telecity 2	-	-	-	-	No	
ISC	193.239.116.164	GlobalSwitch	-	-	-	-	No	
ISC F-root server	193.239.116.112	NIKHEF Access	AS30132	-	peering@isc.org	Open	No	
ISC F-root server	193.239.116.113	NIKHEF Access	AS30132	-	peering@isc.org	Open	No	
IsiConneXion	193.239.116.203	NIKHEF Access	AS44953	AS-ISICONNEXION	peering@isiconnexion.nl	Open	Yes	
IT Complete	193.239.116.24	SARA Amsterdam	AS31597	-	info@itcomplete.nl	Open	No	
iTactic	193.239.116.150	GyroCenter	AS42492	-	-	-	No	
iunxi	193.239.116.146	Telecity 2	AS34968	AS-IUNXI	peering@iunxi.net	No	No	
KDISS	193.239.116.28	eu-Networks Access	AS31586	-	peering@kdiss.com	Open	Yes	
KPN Eurorings	193.239.116.75	NIKHEF Access	AS286	-	-	On-our-initiative-only	No	
Limelight Networks	193.239.116.59	NIKHEF Core	AS22822	AS-LLNW	peering-noc@llnw.com	Open	No	
Luna.nl	193.239.116.65	GlobalSwitch	AS12902	AS-LUNA	peering@luna.nl	Open	Yes	
Mainlab	193.239.116.48	Redbus 2F	AS35329	AS-MAINLAB-AMS	peering@mainlab.de	Open	Yes	
Manyones.com	193.239.116.172	Telecity 2	AS31576	AS-31576-CLIENTS	peering@manyones.net	Open	Yes	
Marktplaats	193.239.116.154	GlobalSwitch	AS41552	-	peering@marktplaats.nl	Case-by-case	No	
Mojo Concerts BV	193.239.116.87	MediaGateway	AS43409	-	-	-	No	
Multiplay	193.239.116.169	GlobalSwitch	AS35028	AS-MULTIPLAY	-	Not ready	No	
Mzima	193.239.116.8	GlobalSwitch MG8 Switch	AS25973	AS-MZIMA	peering@mzima.net	Case-by-case	No	
NedZone	193.239.116.40	NIKHEF Access	AS25459	AS-NEDZONE	peering@nedzone.nl	Open	Yes	
Neotelecoms	193.239.116.173	eu-Networks Access	AS8218	AS-NEOT	peering@as8218.eu	Not ready	No	
NerdNet	193.239.116.23	SARA Amsterdam	AS5418	-	peering@nerdnet.nl	Open	Yes	
Net Ground	193.239.116.129	GlobalSwitch MG8 Switch	AS41445	AS-NETGROUND	noc@netground.nl	Open	Yes	
Net2Access	193.239.116.60	Easynet	-	-	-	Not ready	No	
Netland Internet Services BV	193.239.116.46	SARA Amsterdam	AS20639	AS-NETLAND	peering@netland.nl	Open	Yes	
NetLogics	193.239.116.56	Telecity 1	AS39637	-	noc@netlogics.nl	Open	Yes	
NetLogics	193.239.116.118	NIKHEF Access	AS39637	-	noc@netlogics.nl	Open	Yes	
Netmasters	193.239.116.135	GlobalSwitch MG8 Switch	AS41785	-	-	-	No	
NetServices Plc.	193.239.116.114	SARA Amsterdam	AS15444	AS-NETSERVICES	peering@netservicesplc.com	On request	No	
Netvictory	193.239.116.68	Easynet	AS29279	AS-NETVICTORY	peering@netvictory.net	Open	Yes	
Networking4all	193.239.116.76	GlobalSwitch	AS42585	AS-NETWORKING4ALL	peering@networking4all.com	Open	No	
News-Service Europe	193.239.116.110	Telecity 2 MG8 Switch	-	AS-SUPPORT	peering@news-service.com	Open	No	
Nextpertise	193.239.116.142	GlobalSwitch	AS41960	AS-NEXTPERTISE	peering@nextpertise.nl	Open	No	
NL Hosting Internet BV	193.239.116.62	Telecity 2	AS24793	-	nlhosting@aedp.nl	Open	Yes	
NOB	193.239.116.63	MediaGateway	AS20969	-	noc@nob.nl	On-our-initiative-only	Yes	
NTT Europe	193.239.116.31	Telecity 2	AS2914	-	-	-	No	
NXS Internet	193.239.116.21	NIKHEF Core	AS16237	AS-NXS	peering@nxs.nl	Open	Yes	
ONETEL Ltd	193.239.116.4	NIKHEF Access	AS8586	AS-REDNET	peering@opal-solutions.com	Open	No	
Open Hosting	193.239.116.141	Telecity 2	AS33970	AS-OHTELE	peering@ohtele.com	Case-by-case	Yes	
Open Peering	193.239.116.17	NIKHEF Core	AS20562	AS-OPENPEERING	peering@openpeering.nl	Open	Yes	
Open Peering	193.239.116.3	eu-Networks MG8	AS20562	AS-OPENPEERING	peering@openpeering.nl	Open	Yes	
OVH	193.239.116.188	GlobalSwitch MG8 Switch	AS16276	AS-OVH	peering@ovh.net	Open	No	
Oxilion	193.239.116.207	Equinix AM1	-	-	-	-	No	
Panther IT Services	193.239.116.25	GrafiXNOC	AS43560	AS-PANTHERIT	nlix@panther-it.nl	Open	Yes	
PCH	193.239.116.122	GlobalSwitch	AS3856	-	-	Open	No	
Perrit	193.239.116.190	Telecity 1	AS35579	AS-PERRIT	noc@perrit.net	Open	Yes	
Pine Digital Security	193.239.116.131	Enertel	AS12854	AS-PINE	peering@pine.nl	Open	Yes	
PINS	193.239.116.37	Interxion AMS1	AS20747	AS-PINS	peering@pins-web.net	Case-by-case	Yes	
Port80	193.239.116.134	Telecity 2	AS16150	AS-AS16150:CUSTOMERS	peering-req@p80.net	Case-by-case	Yes	
Probe Networks	193.239.116.47	Telecity 2	AS29686	AS-PROBENETWORKS	peering@probe-networks.de	Open	No	
Progressix	193.239.116.165	Telecity 2	AS43293	AS-PROXILITY	-	Open	Yes	
Prolocation	193.239.116.205	GlobalSwitch	AS41887	AS-PROLOCATION	peering@prolocation.net	Open	Yes	
PROXSYS	193.239.116.196	GlobalSwitch	AS44858	-	peering@proxsys.nl	-	No	
Publieke omroep	193.239.116.94	MediaGateway	AS25182	AS-PUBLIEKEOMROEP	peering@omroep.nl	Open	Yes	
Publieke omroep	193.239.116.182	Mediagateway MG8	AS25182	AS-PUBLIEKEOMROEP	peering@omroep.nl	Open	Yes	
Qfast ICT B.V.	193.239.116.183	GlobalSwitch	AS31172	-	-	-	No	
Quality Control Centre	193.239.116.128	GlobalSwitch	AS35829	AS-QCC	peering@quality-control-centre.net	Open	Yes	
Quality Control Centre	193.239.116.128	GlobalSwitch	AS35829	AS-QCC	peering@quality-control-centre.net	Open	Yes	
RAM Mobile Data	193.239.116.153	GlobalSwitch	AS41696	AS-RAM	peering@ram.nl	On request	No	
Raywyse	193.239.116.54	GlobalSwitch	AS39221	-	-	Not ready	No	
Reasonnet	193.239.116.38	NIKHEF Access	AS25525	AS-REASONNET	peeringeu@reasonnet.com	Case-by-case	No	
Reasonnet	193.239.116.44	NIKHEF Access	AS25525	AS-REASONNET	peeringeu@reasonnet.com	Case-by-case	No	
Redhosting	193.239.116.91	GlobalSwitch	AS39647	-	-	-	No	
Redhosting	193.239.116.201	NIKHEF Access	AS39647	-	-	-	No	
Reliance Globalcom	193.239.116.139	SARA Amsterdam	AS15412	-	-	Not ready	No	
RIPE NCC - K-root server	193.239.116.80	NIKHEF Access	AS25152	-	k-peering@ripe.net	Open	No	
RIPE NCC - RIS	193.239.116.45	NIKHEF Access	AS12654	-	ris@ripe.net	Open	Yes	
RoutIT	193.239.116.51	Telecity 1	AS28685	AS-ROUTIT	peering@routit.nl	Open	Yes	
RTL Nederland Interactief	193.239.116.30	Telecity 1	AS20504	-	peering@rtl.nl	Open	Yes	
R_ix	193.239.116.174	NIKHEF Access	AS43339	-	-	-	No	
SallandXS	193.239.116.15	Telecity 1	AS35224	-	-	Not ready	No	
Samage	193.239.116.184	EvoSwitch	AS47172	-	peering@samage.net	Open	No	
Searchtech	193.239.116.12	NIKHEF Core	AS35176	-	helpdeskone@astraweb.com	Not ready	No	
Sensemakers	193.239.116.189	Telecity 1	AS47121	-	-	-	No	
SIG - Service Telecom	193.239.116.144	SARA Amsterdam	AS20932	AS-IP-MAN	peering@ip-man.net	Case-by-case	No	
Signet B.V.	193.239.116.125	GlobalSwitch	AS28878	AS-SIGNET	peering@signet.nl	Open	Yes	
Sitebytes	193.239.116.32	GlobalSwitch	AS31680	AS-SITEBYTES	admin@sitebytes.nl	Open	Yes	
Solcon	193.239.116.72	NIKHEF Core	AS12414	AS-SOLCON	peering@solcon.nl	Open	No	
SpeedXS	193.239.116.73	Telecity 1	AS30925	AS-SPEEDXS	peering@speedxs.nl	Open	Yes	
StayClose	193.239.116.143	EvoSwitch	AS29659	AS-STAYCLOSE	-	-	No	
Stichting Digitale Snelweg Kennemerland	193.239.116.186	SARA Amsterdam	-	-	-	-	No	
StreamTech	193.239.116.158	Redbus 2F	AS43016	-	-	On request	No	
Superfeed	193.239.116.7	Telecity 2	-	-	peering@superfeed.co.uk	Open	No	
Systemec	193.239.116.156	NIKHEF Access	AS41480	AS-SYSTEMEC	peering@systemec.nl	Open	No	
Technotop Internetdiensten	193.239.116.137	Interxion AMS3	AS42755	AS-TECHNOTOP	noc@technotop.nl	Case-by-case	Yes	
Technotop Internetdiensten	193.239.116.78	NIKHEF Access	AS42755	AS-TECHNOTOP	noc@technotop.nl	Case-by-case	Yes	
Telecats	193.239.116.155	Interxion AMS1	-	-	-	Not ready	No	
Tiscali Int.	193.239.116.130	Telecity 2	AS3257	-	-	Not ready	No	
TNG	193.239.116.27	SARA Amsterdam	AS13101	AS-TNG	peering@tng.de	Open	No	
Trade-IT	193.239.116.170	MediaGateway	-	-	-	-	No	
Twinfield International	193.239.116.148	Easynet	AS42315	AS-TWINFIELD	noc@twinfield.com	Case-by-case	No	
U-wiss	193.239.116.166	Enertel	-	-	-	Not ready	No	
UNET	193.239.116.26	SARA Amsterdam	AS29396	AS-UNET	peering@unet.nl	Open	Yes	
UNET	193.239.116.119	NIKHEF Access	AS29396	AS-UNET	peering@unet.nl	Open	Yes	
Unilogic Networks B.V.	193.239.116.102	Telecity 2	AS28788	AS-UNILOGICNET	peering@unilogicnetworks.net	Open	Yes	
Uniserver Internet B.V.	193.239.116.39	Telecity 1	AS31673	-	peering@uniserver.nl	Open	No	
United Satellite Services	193.239.116.171	MediaGateway	AS44608	-	-	-	No	
Uw-Desktop.nl	193.239.116.133	GlobalSwitch	AS41677	-	peering@lan-services.nl	Not ready	No	
Van der Moolen Holding	193.239.116.199	Interxion AMS5	AS48732	-	-	-	No	
Van der Moolen Holding	193.239.116.200	Interxion AMS5	AS48732	-	-	-	No	
Vivor	193.239.116.121	Redbus 2F	AS34942	-	peering@vivor.net	Open	No	
Webstekker	193.239.116.100	Schuberg Philis	AS39700	-	-	-	No	
WideXS	193.239.116.192	NIKHEF Access	AS12573	AS-WIDEXS	peering@widexs.nl	Open	Yes	
Woodynet	193.239.116.123	GlobalSwitch	AS42	AS-PCH	peering@pch.net	Open	No	
Xenosite	193.239.116.90	NIKHEF Access	AS15426	AS-XENOSITE	peering@xenosite.net	Open	Yes	
Xentech	193.239.116.138	SARA Amsterdam	AS41420	-	peering@xentech.net	Open	No	
XL Internet Services	193.239.116.177	GlobalSwitch	AS35470	AS-XLIS	noc@xl-internetservices.com	Open	Yes	
XS Networks	193.239.116.57	eu-Networks Access	AS20840	-	-	-	No	
XS News	193.239.116.197	Interxion AMS5 MG8	AS48345	AS-XSNEWS	peering@xsnews.com	Open	No	
XS News	193.239.116.198	eu-Networks MG8	AS48345	AS-XSNEWS	peering@xsnews.com	Open	No	
your.org	193.239.116.157	SARA Amsterdam	AS26943	AS-YOUR-SET	noc@your.org	Case-by-case	Yes	
ZeelandNet	193.239.116.105	SARA Amsterdam	AS15542	AS-ZEELANDNET	peering@staff.zeelandnet.nl	Open	Yes	
Zeeuwse Kempen	193.239.116.99	SARA Amsterdam	AS5612	AS-HNHW8	noc@het.net	Open	Yes	
Zylon	193.239.116.208	NIKHEF Access	AS8312	AS-ZYLON	-	-	Yes	
